ts_ns,ax,ay,az,gesture,trial_id
1155350186000,-2.8946,0.4118,8.7915,figure8,52
1155370219000,-2.6049,0.5914,8.5066,figure8,52
1155390327000,-2.7342,0.1556,8.5162,figure8,52
1155410141000,-3.1173,-0.2682,8.6718,figure8,52
1155430202000,-4.039,-1.3575,9.0453,figure8,52
1155450119000,-5.0206,-2.7773,10.0628,figure8,52
1155470224000,-5.2696,-3.4237,10.4459,figure8,52
1155490141000,-5.0661,-3.9648,10.9343,figure8,52
1155510195000,-4.8985,-3.9193,11.2216,figure8,52
1155530104000,-4.6471,-3.4979,11.4419,figure8,52
1155550224000,-4.2808,-2.4229,11.394,figure8,52
1155570141000,-3.5793,-0.3472,10.7931,figure8,52
1155590165000,-3.5841,1.1971,11.1211,figure8,52
1155610203000,-3.4261,2.4373,10.8314,figure8,52
1155630144000,-2.6456,3.4764,10.9032,figure8,52
1155650161000,-1.6592,4.0893,11.0588,figure8,52
1155670213000,-1.0487,4.1563,11.5712,figure8,52
1155690104000,-0.395,4.3934,11.2384,figure8,52
1155710113000,-0.1173,4.2784,10.6494,figure8,52
1155730184000,-0.7422,3.9816,9.6367,figure8,52
1155750152000,-1.4533,3.7852,8.8178,figure8,52
1155770184000,-1.5874,3.2346,8.2696,figure8,52
1155790113000,-1.8651,2.4445,7.7213,figure8,52
1155810219000,-2.1308,2.0351,7.2951,figure8,52
1155830156000,-1.9417,1.8818,7.0581,figure8,52
1155850138000,-1.3743,1.9824,6.9384,figure8,52
1155870175000,-0.9912,1.9824,6.845,figure8,52
1155890224000,-0.9792,1.7142,6.8905,figure8,52
1155910113000,-1.4461,1.1037,6.8522,figure8,52
1155930232000,-1.992,0.7853,6.6008,figure8,52
1155950104000,-2.2577,0.5243,6.5146,figure8,52
1155970206000,-2.6624,0.5124,6.3039,figure8,52
1155990232000,-3.0909,0.6009,6.2297,figure8,52
1156010209000,-3.0598,0.2873,6.4572,figure8,52
1156030202000,-2.7677,-0.3112,6.8498,figure8,52
1156050181000,-2.8563,-0.9122,7.1347,figure8,52
1156070218000,-3.2657,-1.6376,7.5489,figure8,52
1156090120000,-3.2896,-1.9273,7.6926,figure8,52
1156110247000,-2.8778,-2.1835,7.7979,figure8,52
1156130149000,-3.1125,-2.7629,8.1403,figure8,52
1156150135000,-3.2417,-3.2513,8.1618,figure8,52
1156170162000,-3.1795,-3.4237,8.1116,figure8,52
1156190152000,-3.2465,-3.122,8.0661,figure8,52
1156210143000,-2.8994,-2.8323,8.1259,figure8,52
1163390197000,-2.2434,0.17,9.3015,figure8,53
1163410236000,-2.1548,0.249,9.3589,figure8,53
1163430183000,-2.2003,0.2227,9.3541,figure8,53
1163450232000,-2.0638,0.1532,9.3565,figure8,53
1163470143000,-2.0446,0.0359,9.414,figure8,53
1163490182000,-1.9656,0.0934,9.4164,figure8,53
1163510161000,-2.0303,0.2753,9.2632,figure8,53
1163530113000,-1.9034,0.3041,9.3254,figure8,53
1163550125000,-1.8794,0.3184,9.3877,figure8,53
1163570099000,-1.8579,0.3256,9.4523,figure8,53
1163590206000,-1.9632,0.395,9.3901,figure8,53
1163610199000,-2.0327,0.5363,9.3565,figure8,53
1163630120000,-1.9632,0.5004,9.4236,figure8,53
1163650131000,-2.0016,0.2849,9.3326,figure8,53
1163670145000,-2.0806,0.1221,9.3565,figure8,53
1163690118000,-1.98,0.1413,9.3182,figure8,53
1163710196000,-1.9225,0.4621,9.3134,figure8,53
1163730220000,-1.7885,0.5243,9.4164,figure8,53
1163750233000,-1.8555,0.4501,9.4308,figure8,53
1163770210000,-1.9656,0.3184,9.3781,figure8,53
1163790151000,-1.9992,0.4645,9.3733,figure8,53
1163810108000,-1.9034,0.8739,9.5337,figure8,53
1163830177000,-1.7238,0.5674,9.414,figure8,53
1163850162000,-1.6305,0.2179,9.6007,figure8,53
1163870100000,-1.6879,0.0862,9.7252,figure8,53
1163890181000,-1.8028,-0.0383,9.5289,figure8,53
1163910119000,-1.6855,-0.3304,9.5217,figure8,53
1163930136000,-1.5107,-0.5435,9.426,figure8,53
1163950177000,-1.5036,-0.5507,9.3805,figure8,53
1163970158000,-1.5012,-0.5818,9.5146,figure8,53
1163990165000,-1.549,-0.6321,9.4092,figure8,53
1164010189000,-1.5658,-0.5052,9.2991,figure8,53
1164030214000,-1.6065,-0.328,9.2799,figure8,53
1164050202000,-1.6424,-0.2562,9.3541,figure8,53
1164070233000,-1.719,-0.2538,9.3972,figure8,53
